GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookingMx Backend,com.bookingmx.reservations.repo,ReservationRepository,0,46,0,2,0,8,0,5,0,4
BookingMx Backend,com.bookingmx.reservations.controller,ReservationController,0,60,0,0,0,12,0,7,0,7
BookingMx Backend,com.bookingmx.reservations.dto,ReservationRequest,0,31,0,0,0,9,0,9,0,9
BookingMx Backend,com.bookingmx.reservations.dto,ReservationResponse,0,39,0,0,0,10,0,7,0,7
BookingMx Backend,com.bookingmx.reservations.model,ReservationStatus,0,15,0,0,0,2,0,1,0,1
BookingMx Backend,com.bookingmx.reservations.model,Reservation,0,102,0,6,0,27,0,19,0,16
BookingMx Backend,com.bookingmx.reservations.exception,NotFoundException,0,4,0,0,0,1,0,1,0,1
BookingMx Backend,com.bookingmx.reservations.exception,ApiExceptionHandler,0,39,0,0,0,5,0,5,0,5
BookingMx Backend,com.bookingmx.reservations.exception,BadRequestException,0,4,0,0,0,1,0,1,0,1
BookingMx Backend,com.bookingmx.reservations.service,ReservationService,5,141,1,9,0,23,1,14,0,10
